Name,Disaster,Begin Date,End Date,Summary,CPI-Adjusted Cost,Deaths
Midwest Tornado Outbreak (March 2017),Severe Storm,06/03/2017,08/03/2017,"Tornado outbreak and wind damage across many Midwestern states (AR, IA, IL, KS, MI, MN, MO, NE, NY, OH, WI). Missouri and Illinois were impacted by numerous tornadoes while Michigan and New York were affected by destructive, straight-line winds following the storm system. Nearly one million customers lost power in Michigan alone due to sustained high winds, which affected several states from Illinois to New York.",2.8,2
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,28/02/2017,01/03/2017,Over 70 tornadoes developed during a widespread outbreak across many central and southern states causing significant damage. There was also widespread straight-line wind and hail damage. This was the second largest tornado outbreak to occur early in 2017.,2.3,6
California Flooding (February 2017),Flooding,08/02/2017,22/02/2017,"Heavy, persistent rainfall across northern and central California created substantial property and infrastructure damage from flooding, landslides and erosion. Notable impacts include severe damage to the Oroville Dam spillway, which caused a multi-day evacuation of 188,000 residents downstream. Excessive rainfall also caused flood damage in the city of San Jose, as Coyote Creek overflowed its banks and inundated neighborhoods forcing 14,000 residents to evacuate.",1.9,5
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,20/01/2017,22/01/2017,"High wind damage occurred across southern California near San Diego followed by 79 confirmed tornadoes during an outbreak across many southern states including AL, FL, GA, LA, MS, SC and TX. This was the 3rd most tornadoes to occur in a single outbreak of extreme weather during a winter month (Dec.-Feb.) based on records from 1950.",1.4,24
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,01/06/2016,31/12/2016,"Western and Southern states experienced an active wildfire season with over 5.0 million acres burned nationally. Most notable was the firestorm that impacted Gatlinburg, Tennessee with hurricane-force wind gusts in extremely dry conditions creating volatile wildfire behavior. These wildfires destroyed nearly 2,500 structures and caused 14 fatalities. The drought conditions in many areas of the Southeast and California worsened the wildfire potential.",3.1,21
West/Northeast/Southeast Drought (2016),Drought,01/01/2016,31/12/2016,"California's 5-year drought persisted during 2016 while new areas of extreme drought developed in states across the Northeast and Southeast. The long-term impacts of the drought in California have damaged forests where 100+ million trees have perished and are a public safety hazard. The agricultural impacts were reduced in California as water prices and crop fallowing declined. However, agricultural impacts developed in Northeast and Southeast due to stressed water supplies.",4.5,0
Hurricane Matthew (October 2016),Tropical Cyclone,08/10/2016,12/10/2016,"Category 1 hurricane made landfall in North Carolina, after it paralleled the Southeast coast along Florida, Georgia and the Carolinas causing widespread damage from wind, storm surge and inland flooding. The most costly impacts were due to historic levels of river flooding in eastern North Carolina where 100,000 homes, businesses and other structures were damaged. This inland flooding was comparable to Hurricane Floyd (1999) that also impacted eastern North Carolina. Matthew narrowly missed landall on Florida's east coast as a powerful category 4 storm.",12.9,49
Louisiana Flooding (August 2016),Flooding,12/08/2016,15/08/2016,"A historic flood devastated a large area of southern Louisiana resulting from 20 to 30 inches of rainfall over several days. Watson, Louisiana received an astounding 31.39 inches of rain from the storm. Two-day rainfall totals in the hardest hit areas have a 0.2% chance of occurring in any given year: a 1 in 500 year event. More than 30,000 people were rescued from the floodwaters that damaged or destroyed over 50,000 homes, 100,000 vehicles and 20,000 businesses. This is the most damaging U.S. flood event since Superstorm Sandy impacted the Northeast in 2012.",13.2,13
Rockies and Northeast Severe Weather (July 2016),Severe Storm,28/07/2016,30/07/2016,"Severe storms across the Rockies and Northeastern states (CO, WY, VA, MD, PA, NJ, NY) caused large hail and high wind damage. Storm damage in Colorado was the most costly due to hail.",1.9,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,22/06/2016,24/06/2016,"Torrential rainfall caused destructive flooding through many West Virginia towns, damaging thousands of homes and businesses and causing considerable loss of life. Over 1,500 roads and bridges were damaged or destroyed making the impact on infrastructure comparable to the historic 2013 Colorado flood. The storm system also produced numerous tornadoes causing damage across several Ohio Valley states.",1.3,23
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,21/05/2016,26/05/2016,"Sustained period of severe thunderstorms and tornadoes affecting several states including Montana, Colorado, Kansas, Missouri and Texas. The most concentrated days for tornado development were on May 22 and 24. Additional damage was created by straight-line high wind and hail damage.",1.5,0
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,08/05/2016,11/05/2016,"Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri.",2.2,2
South/Southeast Tornadoes (April 2016),Severe Storm,26/04/2016,02/05/2016,Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.,3.1,6
Houston Flooding (April 2016),Flooding,17/04/2016,18/04/2016,"A period of extreme rainfall up to 17 inches created widespread urban flooding in Houston and surrounding suburbs. Thousands of homes and businesses were damaged and more than 1,800 high water rescues were conducted. This represents the most widespread flooding event to affect Houston since Tropical Storm Allison in 2001.",3.5,8
North/Central Texas Hail Storm (April 2016),Severe Storm,10/04/2016,12/04/2016,"Widespread severe hail damage across north and central Texas including the cities of Plano, Wylie, Frisco, Allen and San Antonio. The damage in San Antonio was particularly severe as the National Weather Service verified reports of hail size reaching 4.5 inches in diameter. This ranks as one of the most costly hail events to affect the United States.",4.6,0
North Texas Hail Storm (March 2016),Severe Storm,23/03/2016,24/03/2016,"Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano.",2.7,0
Southern Severe Weather (March 2016),Severe Storm,17/03/2016,18/03/2016,"Severe hail impacts the Fort Worth and Arlington metro region in Texas. Additional large hail and high wind damage occurred in other locations of Texas, Louisiana and Mississippi.",1.6,1
Texas and Louisiana Flooding (March 2016),Flooding,08/03/2016,12/03/2016,"Multiple days of heavy rainfall averaging 15 to 20 inches led to widespread flooding along the Sabine River basin on the Texas and Louisiana border. This prompted numerous evacuations, high-water rescues and destruction, as more than 1,000 homes and businesses were damaged or destroyed.",3.0,5
Southeast and Eastern Tornadoes (February 2016),Severe Storm,22/02/2016,24/02/2016,"Early outbreak of tornadoes and severe weather across many southern and eastern states including (AL, CT, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA). There were at least 50 confirmed tornadoes causing widespread damage.",1.4,10
Western Drought (2015),Drought,01/01/2015,31/12/2015,"Drought conditions were present across numerous western states (CA, NV, OR, WA, ID, MT, UT, AZ) with the most severe conditions continuing to plague California for all of 2015. The agriculture sector was again impacted by a lack of rainfall resulting in hundreds of thousands of acres of farmland remaining fallow and requiring excess groundwater pumping to irrigate existing agriculture interests. Wildfire conditions were further enhanced by the ongoing drought. California experienced extensive damage from both drought and wildfire impacts. Drought conditions did improve dramatically across Texas and Oklahoma, in the form of several major flood events.",6.0,0
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,26/12/2015,29/12/2015,"A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather.",2.6,50
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,01/06/2015,30/11/2015,"Wildfires burned over 10.1 million acres across the U.S. in 2015, surpassing 2006 for the highest annual total of U.S. acreage burned since record-keeping began in 1960. The most costly wildfires occurred in California where over 2,500 structures were destroyed due to the Valley and Butte wildfires with the insured losses alone exceeding $1.0 ($1.3) billion. The most extensive wildfires occurred in Alaska where over 5 million acres burned within the state. There was extensive burnt acreage across other western states, most notably (OR, WA, ID, MT, ND, CO, WY, TX).",4.0,12
South Carolina and East Coast Flooding (October 2015),Flooding,01/10/2015,05/10/2015,"Historic levels of flooding impacted South Carolina causing widespread damage to many homes, businesses, public buildings and infrastructure. This interrupted commerce and closed major transportation corridors (such as I-95) for weeks as rivers slowly receded. Locally extreme rainfall totals exceeding 20-inches were common resulting from the convergence of a powerful low pressure system/frontal boundary and copious moisture from Hurricane Joaquin in the Atlantic.",2.6,25
Central and Northeast Severe Weather (June 2015),Severe Storm,21/06/2015,25/06/2015,"Severe storms across numerous Central and Northeast states (CO, CT, IA, IL, MD, MI, NJ, NY, PA, SD, VA, WI) with widespread hail and high wind damage.",1.5,1
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,23/05/2015,26/05/2015,"A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded $1.0 ($1.3) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms.",3.4,31
Southern Plains Tornadoes (May 2015),Severe Storm,06/05/2015,10/05/2015,"Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma.",1.7,4
South and Southeast Severe Weather (April 2015),Severe Storm,24/04/2015,25/04/2015,"Severe weather produced tornadoes, large hail and high wind damage across numerous southern and southeastern states including Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi and Texas. These storms caused widespread impacts to many homes, vehicles and businesses.",1.2,3
South/Southeast Severe Weather (April 2015),Severe Storm,18/04/2015,20/04/2015,"Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas.",1.7,0
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,07/04/2015,09/04/2015,"Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois.",2.1,2
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,14/02/2015,20/02/2015,"A large winter storm and associated cold wave impacted many central, eastern and northeastern states (CT, DE, GA, IL, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA). The city of Boston was particularly impacted as feet of snow continued to accumulate causing load-stress on buildings and clogging transportation corridors. Total, direct losses in Massachusetts alone exceed $1.0 ($1.3) billion for this event, with considerable damage in many other states.",3.9,30
Western Drought (2014),Drought,01/01/2014,31/12/2014,"Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years.",5.3,0
Rockies/Plains Severe Weather (September 2014),Severe Storm,29/09/2014,02/10/2014,"Severe storms across the Rockies and Plains states (CO, KS, TX). Large hail and high winds created significant damage across eastern Colorado and Texas, particularly in the Dallas metro area.",1.8,0
Michigan and Northeast Flooding (August 2014),Flooding,11/08/2014,13/08/2014,"Heavy rainfall in excess of 5 inches caused significant flooding in cities across Michigan damaging thousands of cars, business, homes and other infrastructure. Flooding also occurred across Maryland and New York's Long Island, as the slow-moving storm system delivered 24-hour rainfall exceeding 6 and 12 inches, respectively, creating more flood damage. Islip, NY received 13.57 inches of rain over a 24-hour period on Aug 12-13 setting a new 24-hour precipitation record for New York.",1.4,2
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,03/06/2014,05/06/2014,"Severe storms across the Rockies and Central Plains states (NE, KS, WY, IA, AR). Wind gusts exceeding 90 mph and baseball to softball sized hail caused severe damage to structures and vehicles in central and eastern Nebraska.",2.5,2
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,18/05/2014,23/05/2014,"Severe storms across the Rockies, Midwest and Eastern states (CO, MT, IA, IL, IN, OH, SC, VA, PA, DE, NY) with the most costly damage in Colorado, Illinois and Pennsylvania.",4.9,0
Center Severe Weather (May 2014),Severe Storm,10/05/2014,14/05/2014,"Severe weather including damaging hail, high winds and more than 50 tornadoes impacted Kansas, Nebraska, Missouri, Illinois, Indiana, Ohio and West Virginia. These impacts caused damage to homes, businesses, vehicles and other infrastructure.",1.1,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,27/04/2014,01/05/2014,"Tornado outbreak across the Midwest, Southeast and Northeast states (AL, AR, DE, FL, GA, KS, MD, MO, MS, NC, NJ, NY, PA, TN, VA) with 83 confirmed tornadoes. Mississippi had its 3rd greatest number of tornadoes reported for any day since 1950. Torrential rainfall in the Florida panhandle also caused major flooding, as Pensacola set new 1-day and 2-day precipitation records of 15.55 and 20.47 inches, respectively. Flooding rains were also reported in coastal Alabama, as Mobile received 11.24 inches of rain, the third greatest calendar day rainfall total for the city.",2.3,33
Central Severe Weather (April 2014),Severe Storm,12/04/2014,13/04/2014,"Severe weather produced hail and high wind damage across several central states including Illinois, Iowa, Michigan, Wisconsin and Texas. The damage was most focused in Illinois and Michigan, as storms caused impacts to many homes, vehicles and businesses.",1.2,0
Plains Severe Weather (April 2014),Severe Storm,02/04/2014,03/04/2014,"Severe storms across the Plains states (IL, KS, MO, TX) causing considerable hail and wind damage in Texas.",1.9,0
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,05/01/2014,08/01/2014,"Winter storm caused widespread damage across numerous Midwest, Southeast and Northeastern states (AL, GA, IL, IN, KY, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA).",2.9,16
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,01/03/2013,30/11/2013,"The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses    across the central agriculture states.",14.2,53
Ohio Valley Tornadoes (November 2013),Severe Storm,17/11/2013,17/11/2013,"Late-season outbreak of tornadoes and severe weather over the Ohio Valley (IL, IN, KY, MI, MO, OH) with 70 confirmed tornadoes. Most severe impacts occurred across Illinois and Indiana.",1.5,8
Colorado Flooding (September 2013),Flooding,10/09/2013,16/09/2013,"A stalled frontal boundary over Colorado led to record rainfall, as some areas received > 15 inches over several days. This resulted in historic flooding across numerous cities and towns. Destruction of residences, businesses and transportation infrastructure was widespread.",2.0,9
Midwest Severe Weather (August 2013),Severe Storm,06/08/2013,07/08/2013,Severe weather and large hail causes considerable damage across Minnesota and Wisconsin.,1.4,0
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,27/05/2013,31/05/2013,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind.",2.4,10
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,18/05/2013,22/05/2013,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time.",3.2,27
Illinois Flooding and Severe Weather (April 2013),Flooding,16/04/2013,19/04/2013,A slow-moving storm system created rainfall totals of 5 to 10 inches across northern and central Illinois including the Chicago metro. This resulted in damage to many homes and businesses. There was also severe weather damage from wind and hail across Indiana and Missouri.,1.4,4
Midwest/Plains Severe Weather (April 2013),Severe Storm,07/04/2013,11/04/2013,"Severe weather across the Midwest and Plains states (IN, KS, MO, NE) with a total of 26 confirmed tornadoes. Considerable damage resulting from hail and straight-line wind.",1.9,1
Southeast Severe Weather (March 2013),Severe Storm,18/03/2013,18/03/2013,"Severe weather over the Southeast (MS, AL, GA, TN) with 10 confirmed tornadoes. Considerable damage resulting from large hail and straight-line wind.",2.7,1
Southern Severe Weather (February 2013),Severe Storm,24/02/2013,25/02/2013,"Severe weather produced severe hail and wind damage across several southern states including Louisiana, Oklahoma and Texas. The damage was most focused in Louisiana near New Orleans, as severe hail caused significant damage costs to many homes, vehicles and businesses.",1.2,1
U.S. Drought/Heat Wave (2012),Drought,01/01/2012,31/12/2012,"The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heat wave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown.",41.4,123
Western Wildfires (Summer-Fall 2012),Wildfire,01/06/2012,30/11/2012,"Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed.",2.4,8
Hurricane Sandy (October 2012),Tropical Cyclone,30/10/2012,31/10/2012,"Extensive damage across several northeastern states (MD, DE, NJ, NY, CT, MA, RI) due to high wind and coastal storm surge, particularly NY and NJ. Damage from wind, rain and heavy snow also extended more broadly to other states (NC, VA, WV, OH, PA, NH), as Sandy merged with a developing Nor'easter. Sandy's impact on major population centers caused widespread interruption to critical water/electrical services and also caused 159 deaths (72 direct, 87 indirect). Sandy also caused the New York Stock Exchange to close for two consecutive business days, which last happened in 1888 due to a major winter storm.",87.8,159
Hurricane Isaac (August 2012),Tropical Cyclone,26/08/2012,31/08/2012,"Category 1 hurricane made landfall over Louisiana. Isaac's slow motion and large size led to a large storm surge and flooding rains. This created damage across several southeastern states (LA, MS, AL, FL) including 9 deaths (5 direct, 4 indirect).",3.8,9
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,29/06/2012,02/07/2012,"Sustained outbreak of thunderstorms/high winds from a strong derecho event over the central, eastern, and northeastern states (IL, IN, KY, OH, WV, SC, NC, VA, MD, DC, NJ).",3.9,28
Rockies/Southwest Severe Weather (June 2012),Severe Storm,06/06/2012,12/06/2012,"Severe storms and damaging hail over several states (CO, NM, TX) with 25 confirmed tornadoes. Colorado experienced over $1.0 ($1.4) billion in damage due to hail.",3.5,0
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,25/05/2012,30/05/2012,"Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds.",3.1,1
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,28/04/2012,01/05/2012,"Severe weather over the midwest and Ohio Valley (TX, OK, KS, MO, IL, IN, KY) with 38 confirmed tornadoes. Considerable damage resulting from hail.",4.5,1
Midwest Tornadoes (April 2012),Severe Storm,13/04/2012,14/04/2012,"Outbreak of tornadoes and severe weather over the midwest (OK, KS, NE, IA) with 98 confirmed tornadoes including many tornadoes that remained on the ground for an extended time - traveling tens of miles.",1.5,6
Texas Tornadoes (April 2012),Severe Storm,02/04/2012,03/04/2012,Outbreak of tornadoes across the greater Dallas-Ft. Worth metropolitan area. Several moderate strength tornadoes (EF-2 and EF-3) affected towns in this area with a total of 22 confirmed tornadoes.,1.4,0
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,02/03/2012,03/03/2012,"Outbreak of tornadoes and severe weather over the southeast and Ohio Valley (AL, GA, IN, OH, KY, TN) with 75 confirmed tornadoes.",4.3,42
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,01/06/2011,30/11/2011,"Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season.",2.5,5
Northeastern Winter Storm (October 2011),Winter Storm,29/10/2011,30/10/2011,"Winter storm impacts northeastern states including Connecticut, Massachusetts, New Hamsphire, New York, New Jersey and Pennsylvania.",1.3,1
Tropical Storm Lee (September 2011),Tropical Cyclone,01/09/2011,05/09/2011,"Wind and flood damage across the southeast (LA, MS, AL, GA, TN) but considerably more damage from record flooding across the northeast (PA, NY, NJ, CT, VA, MD). Pennsylvania and New York were most affected.",3.5,21
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,01/03/2011,31/08/2011,"Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season.",17.0,95
Hurricane Irene (August 2011),Tropical Cyclone,26/08/2011,28/08/2011,"Category 1 hurricane made landfall over coastal NC and moved northward along the Mid-Atlantic Coast (NC, VA, MD, NJ, NY, CT, RI, MA, VT) causing torrential rainfall and flooding across the Northeast. Wind damage in coastal NC, VA, and MD was moderate with considerable damage resulting from falling trees and power lines, while flooding caused extensive flood damage across NJ, NY, and VT. Over seven million homes and businesses lost power during the storm. Numerous tornadoes were also reported in several states further adding to the damage.",18.6,45
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,17/08/2011,18/08/2011,"Severe weather impacts the states IA, KS, MO, NE, SD across the Midwest and Southeast.",1.6,0
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,10/07/2011,11/07/2011,"A derecho produced a wide swatch of high wind damage beginning east of the Rockies and across the central plains (CO, IA, IL, MI, MN, OH).",1.7,2
"North Central Severe Weather (July 1, 2011)",Severe Storm,01/07/2011,01/07/2011,"Severe weather causes damage across several north central states. The regions most impacted were southern Minnesota, western Wisconsin and northern Illinois.",1.2,0
Missouri River flooding (May-June 2011),Flooding,01/05/2011,30/06/2011,"Melting of an above-average snow pack across the Northern Rocky Mountains combined with above-average precipitation caused the Missouri and Souris Rivers to swell beyond their banks across the Upper Midwest (MT, ND, SD, NE, IA, KS, MO). An estimated 11,000 people were forced to evacuate Minot, North Dakota due to the record high water level of the Souris River, where 4,000 homes were flooded. Numerous levees were breached along the Missouri River, flooding thousands of acres of farmland.",2.8,5
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,18/06/2011,22/06/2011,"Outbreak of tornadoes over central states (OK, TX, KS, NE, MO, IA, IL) with an estimated 81 tornadoes. Additional wind and hail damage across the Southeast (TN, GA, NC, SC).",2.1,3
Mississippi River flooding (April-May 2011),Flooding,01/04/2011,31/05/2011,"Persistent rainfall (nearly 300 percent normal precipitation amounts in the Ohio Valley) combined with melting snowpack caused historical flooding along the Mississippi River and its tributaries. Examples of economic damage include: $500 ($710.0) million to agriculture in Arkansas; $320 ($454.4) million in damage to Memphis, Tennessee; $800 million ($1.1 billion)  to agriculture in Mississippi; $317 ($450.1) million to agriculture and property in Missouri's Birds Point-New Madrid Spillway; $80 ($113.6) million for the first 30 days of flood fighting efforts in Louisiana.",4.2,7
Midwest/Southeast Tornadoes (May 2011),Severe Storm,22/05/2011,27/05/2011,"Outbreak of tornadoes over central and southern states (MO, TX, OK, KS, AR, GA, TN, VA, KY, IN, IL, OH, WI, MN, PA) with an estimated 180 tornadoes. Notably, an EF-5 tornado struck Joplin, MO resulting in at least 160 deaths, making it the deadliest single tornado to strike the U.S. since modern tornado record keeping began in 1950.",12.6,177
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,25/04/2011,28/04/2011,"Outbreak of tornadoes over central and southern states (AL, AR, LA, MS, GA, TN, VA, KY, IL, MO, OH, TX, OK) with an estimated 343 tornadoes. The deadliest tornado of the outbreak, an EF-5, hit northern Alabama, killing 78 people. Several major metropolitan areas were directly impacted by strong tornadoes including Tuscaloosa, Birmingham, and Huntsville in Alabama and Chattanooga, Tennessee, causing the estimated damage costs to soar.More Info…",14.2,321
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,19/04/2011,20/04/2011,"Dozens of tornadoes and a derecho affect numerous states (AR, IL, IN, KY, MO, OH, TN, TX) across the Ohio Valley and South.",1.4,0
Midwest/Southeast Tornadoes (April 2011),Severe Storm,14/04/2011,16/04/2011,"Outbreak of tornadoes over central and southern states (OK, TX, AR, MS, AL, GA, NC, SC, VA, PA) with an estimated 177 tornadoes.",2.9,38
Southeast/Midwest Tornadoes (April 2011),Severe Storm,08/04/2011,11/04/2011,"Outbreak of tornadoes over central and southern states (NC, SC, TN, AL, TX, OK, KS, IA, WI) with an estimated 59 tornadoes.",3.0,0
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,04/04/2011,05/04/2011,"Outbreak of tornadoes and derecho over central and southern states (KS, MO, IA, IL, WI, KY, GA, TN, NC, SC) with an estimated 46 tornadoes.",3.9,9
Groundhog Day Blizzard (February 2011),Winter Storm,01/02/2011,03/02/2011,"A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area.",2.5,36
Arizona Severe Weather (October 2010),Severe Storm,05/10/2010,06/10/2010,"An unusual series of severe thunderstorms across Arizona produced numerous tornadoes and widespread, severe hail damage. Over one-hundred buildings were damaged or destroyed by tornadoes while thousands of automobiles and buildings were damaged by large hail across Phoenix and surrounding cities.",5.4,0
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,20/07/2010,23/07/2010,"Severe storms and flooding affect the states IA, IL, MD, NY, PA, WI across the Midwest and Northeast.",1.4,0
Rockies/Central/East Severe Weather (June 2010),Severe Storm,10/06/2010,15/06/2010,"Severe storms cause high wind and hail damage across numerous states including CO, NM, KS, OK, IL, IN, GA, SC and NC.",1.3,2
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,10/05/2010,12/05/2010,"An outbreak of tornadoes, hail, and severe thunderstorms occurred across Oklahoma, Kansas, and Texas in mid-May. Oklahoma was hardest hit with > $1.5 ($2.1) billion in damages.",4.8,3
East/South Flooding and Severe Weather (May 2010),Flooding,30/04/2010,02/05/2010,"Flooding, hail, tornadoes, and severe thunderstorms occurred across many Southern states (TN, AR, KY, GA) on April 30-May 2. Flooding in the Nashville, TN area alone contributed > $1.0 ($1.4) billion in damages. Western and Middle Tennessee were hardest hit with local rainfall amounts of 18-20 inches to the south and west of Greater Nashville.",3.3,32
Northeast Flooding (March 2010),Flooding,01/03/2010,31/03/2010,"Heavy rainfall over portions of the Northeast in late March caused extensive flooding across several states (RI, CT, MA, NJ, NY, PA). The event caused the worst flooding in Rhode Island's history.",2.7,11
Northeast Winter Storm (February 2010),Winter Storm,09/02/2010,11/02/2010,"Winter storm produced 10-20 inches of snow and high wind impacts across numerous northeastern and eastern states including Pennsylvania, Maryland, Delaware, New Jersey, West Virginia, Virginia and North Carolina. These impacts were most focused in Pennsylvania and Maryland, as this winter storm closely followed a previous winter storm from the week prior.",1.2,3
Southwest/Great Plains Drought (2009),Drought,01/01/2009,31/12/2009,"Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA.",5.2,0
Western Wildfires (Summer-Fall 2009),Wildfire,01/06/2009,30/11/2009,"Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National wildfire acreage burned exceeds 5.9 million acres. Over 200 homes and structures destroyed in the California ""Station"" fire alone.",1.5,10
